timestamp,location_id,rainfall_mm,humidity,pressure,radar_dbz,satellite_precip,rain_last_5min,rain_last_15min,pressure_drop_15min,humidity_change,forecast_30min,cloudburst,temp_err,hum_err,press_err,rain_err,wind_err,any_error
2024-07-01 00:00:00,loc_7,0.8,54.0,,13.5,0.1,0.8,0.8,0.0,0.0,0.7,0,False,False,True,False,False,True
2024-07-01 00:00:00,loc_6,2.9,54.0,,12.6,0.3,2.9,2.9,0.0,0.0,2.8,0,False,False,True,False,False,True
2024-07-01 00:00:00,loc_5,2.2,58.5,,10.8,0.2,2.2,2.2,0.0,0.0,1.8,0,False,False,True,False,False,True
2024-07-01 00:00:00,loc_2,1.2,57.3,,13.3,0.1,1.2,1.2,0.0,0.0,1.3,0,False,False,True,False,False,True
2024-07-01 00:00:00,loc_9,2.7,59.3,,17.7,0.1,2.7,2.7,0.0,0.0,2.5,0,False,False,True,False,False,True
2024-07-01 00:01:00,loc_3,0.4,59.4,,14.7,0.7,0.8,0.8,0.0,0.0,0.4,0,False,False,True,False,False,True
2024-07-01 00:01:00,loc_2,2.1,58.7,,12.7,0.1,3.3,3.3,0.0,0.0,2.2,0,False,False,True,False,False,True
2024-07-01 00:01:00,loc_7,2.5,54.2,,6.1,0.9,3.4,3.4,0.0,0.0,3.0,0,False,False,True,False,False,True
2024-07-01 00:02:00,loc_6,1.3,54.0,,8.0,0.9,6.7,6.7,0.0,0.0,1.6,0,False,False,True,False,False,True
2024-07-01 00:02:00,loc_7,2.0,52.1,,9.4,0.4,5.4,5.4,0.0,0.0,2.1,0,False,False,True,False,False,True
2024-07-01 00:02:00,loc_3,0.3,59.4,,17.9,0.5,1.1,1.1,0.0,0.0,0.3,0,False,False,True,False,False,True
2024-07-01 00:02:00,loc_2,0.1,57.9,,18.0,0.2,3.3,3.3,0.0,0.0,0.0,0,False,False,True,False,False,True
2024-07-01 00:03:00,loc_3,0.3,59.8,,18.8,0.2,1.4,1.4,0.0,0.0,0.3,0,False,False,True,False,False,True
2024-07-01 00:03:00,loc_2,1.3,57.9,,12.6,0.3,4.7,4.7,0.0,0.0,1.7,0,False,False,True,False,False,True
2024-07-01 00:03:00,loc_7,0.4,52.1,,12.5,0.2,5.8,5.8,0.0,0.0,0.5,0,False,False,True,False,False,True
2024-07-01 00:03:00,loc_5,0.4,60.0,,5.1,0.7,3.9,3.9,0.0,0.0,0.3,0,False,False,True,False,False,True
2024-07-01 00:04:00,loc_6,1.6,54.8,,12.3,0.5,11.3,11.3,0.0,0.0,1.5,0,False,False,True,False,False,True
2024-07-01 00:04:00,loc_8,2.8,52.8,,8.7,0.2,8.5,8.5,0.0,0.0,3.5,0,False,False,True,False,False,True
2024-07-01 00:04:00,loc_7,2.2,54.3,,5.1,1.0,8.0,8.0,0.0,0.0,2.1,0,False,False,True,False,False,True
2024-07-01 00:05:00,loc_2,1.5,60.1,,17.3,0.3,5.1,6.3,0.0,0.0,1.7,0,False,False,True,False,False,True
2024-07-01 00:05:00,loc_3,1.1,63.4,,11.4,0.6,4.5,5.0,0.0,0.0,1.1,0,False,False,True,False,False,True
2024-07-01 00:06:00,loc_8,0.4,51.0,,10.7,0.6,4.5,9.1,0.0,0.0,0.3,0,False,False,True,False,False,True
2024-07-01 00:07:00,loc_8,0.5,52.2,,19.5,0.3,4.3,9.6,0.0,0.0,0.6,0,False,False,True,False,False,True
2024-07-01 00:07:00,loc_5,0.4,61.5,,8.0,0.0,3.3,6.9,0.0,0.0,0.3,0,False,False,True,False,False,True
2024-07-01 00:08:00,loc_7,1.4,56.3,,10.3,0.8,5.9,11.8,0.0,0.0,1.3,0,False,False,True,False,False,True
2024-07-01 00:08:00,loc_2,2.1,61.2,,5.5,0.9,8.0,12.7,0.0,0.0,2.4,0,False,False,True,False,False,True
2024-07-01 00:08:00,loc_8,2.0,51.0,,12.1,0.4,5.9,11.6,0.0,0.0,1.9,0,False,False,True,False,False,True
2024-07-01 00:08:00,loc_9,0.8,61.2,,16.7,0.7,7.2,14.5,0.0,0.0,1.0,0,False,False,True,False,False,True
2024-07-01 00:09:00,loc_2,1.8,61.8,,18.6,0.1,9.7,14.5,0.0,0.0,1.6,0,False,False,True,False,False,True
2024-07-01 00:09:00,loc_3,2.3,63.1,,8.4,0.3,8.2,12.1,0.0,0.0,1.2,0,False,False,True,False,False,True
2024-07-01 00:09:00,loc_8,1.7,52.4,,18.8,0.2,4.8,13.3,0.0,0.0,1.3,0,False,False,True,False,False,True
2024-07-01 00:09:00,loc_9,0.5,59.4,,6.6,0.1,6.8,15.0,0.0,0.0,1.3,0,False,False,True,False,False,True
2024-07-01 00:09:00,loc_6,2.2,50.5,,18.5,0.7,9.0,20.3,0.0,0.0,1.8,0,False,False,True,False,False,True
