timestamp,location_id,rainfall_mm,humidity,pressure,radar_dbz,satellite_precip,rain_last_5min,rain_last_15min,pressure_drop_15min,humidity_change,forecast_30min,cloudburst,rain_5,rain_15,pressure_prev_15,pressure_drop_15,humidity_prev_15,humidity_change_15
2024-07-01 00:01:00,loc_7,2.5,54.2,1014.5,6.1,0.9,3.4,3.4,0.0,0.0,3.0,0,27.9,27.9,1011.8,-2.7000000000000455,62.2,-8.0
2024-07-01 00:01:00,loc_4,1.6,64.0,1012.6,5.0,0.7,3.0,3.0,0.0,0.0,1.9,0,29.5,29.5,1010.5,-2.1000000000000227,56.6,7.399999999999999
2024-07-01 00:01:00,loc_10,0.9,59.2,1011.8,6.7,0.5,3.4,3.4,0.0,0.0,0.9,0,30.400000000000002,30.400000000000002,1014.5,2.7000000000000455,54.0,5.200000000000003
2024-07-01 00:01:00,loc_9,0.3,57.4,1014.5,18.4,0.7,3.0,3.0,0.0,0.0,0.2,0,30.7,30.7,1010.5,-4.0,54.0,3.3999999999999986
2024-07-01 00:01:00,loc_5,0.9,57.7,1013.6,14.8,0.8,3.1,3.1,0.0,0.0,0.8,0,31.6,31.6,1013.6,0.0,58.5,-0.7999999999999972
2024-07-01 00:02:00,loc_10,1.8,57.9,1011.8,14.2,0.7,5.2,5.2,0.0,0.0,1.9,0,33.4,33.4,1011.7,-0.09999999999990905,58.2,-0.30000000000000426
2024-07-01 00:02:00,loc_4,2.8,63.2,1012.7,5.6,0.8,5.8,5.8,0.0,0.0,2.5,0,36.2,36.2,1012.6,-0.10000000000002274,64.9,-1.7000000000000028
2024-07-01 00:02:00,loc_9,2.0,54.8,1014.6,13.3,0.5,5.0,5.0,0.0,0.0,2.1,0,38.2,38.2,1014.6,0.0,60.9,-6.100000000000001
2024-07-01 00:02:00,loc_5,0.5,57.3,1013.6,10.7,0.1,3.6,3.6,0.0,0.0,0.6,0,38.7,38.7,1010.4,-3.2000000000000455,57.3,0.0
2024-07-01 00:02:00,loc_6,1.3,54.0,1010.5,8.0,0.9,6.7,6.7,0.0,0.0,1.6,0,40.0,40.0,1014.5,4.0,59.3,-5.299999999999997
2024-07-01 00:02:00,loc_7,2.0,52.1,1014.5,9.4,0.4,5.4,5.4,0.0,0.0,2.1,0,42.0,42.0,1011.9,-2.6000000000000227,61.2,-9.100000000000001
2024-07-01 00:02:00,loc_1,0.1,63.4,1012.0,16.7,0.3,1.9,1.9,0.0,0.0,0.1,0,42.1,42.1,1010.4,-1.6000000000000227,55.3,8.100000000000001
2024-07-01 00:02:00,loc_8,0.7,54.5,1010.5,11.9,0.8,5.3,5.3,0.0,0.0,0.6,0,42.8,42.8,1010.4,-0.10000000000002274,55.2,-0.7000000000000028
2024-07-01 00:02:00,loc_3,0.3,59.4,1014.6,17.9,0.5,1.1,1.1,0.0,0.0,0.3,0,43.1,43.1,1014.6,0.0,59.4,0.0
2024-07-01 00:02:00,loc_2,0.1,57.9,1010.3,18.0,0.2,3.3,3.3,0.0,0.0,0.0,0,43.2,43.2,1010.3,0.0,58.7,-0.8000000000000043
2024-07-01 00:03:00,loc_1,1.0,64.4,1012.0,7.9,1.0,2.9,2.9,0.0,0.0,0.8,0,44.2,44.2,1014.5,2.5,54.2,10.200000000000003
2024-07-01 00:03:00,loc_9,2.3,55.0,1014.6,5.8,0.2,7.3,7.3,0.0,0.0,2.2,0,46.5,46.5,1012.6,-2.0,64.0,-9.0
2024-07-01 00:03:00,loc_10,0.2,57.6,1011.8,6.9,0.9,5.3,5.3,0.0,0.0,0.2,0,46.7,46.7,1011.8,0.0,59.2,-1.6000000000000014
2024-07-01 00:03:00,loc_8,0.4,53.3,1010.5,17.7,0.2,5.7,5.7,0.0,0.0,0.3,0,47.1,47.1,1014.5,4.0,57.4,-4.100000000000001
2024-07-01 00:03:00,loc_3,0.3,59.8,1014.5,18.8,0.2,1.4,1.4,0.0,0.0,0.3,0,47.4,47.4,1013.6,-0.8999999999999773,57.7,2.0999999999999943
2024-07-01 00:03:00,loc_2,1.3,57.9,1010.3,12.6,0.3,4.7,4.7,0.0,0.0,1.7,0,48.7,48.7,1011.8,1.5,57.9,0.0
2024-07-01 00:03:00,loc_7,0.4,52.1,1014.5,12.5,0.2,5.8,5.8,0.0,0.0,0.5,0,49.1,49.1,1012.7,-1.7999999999999545,63.2,-11.100000000000001
2024-07-01 00:03:00,loc_4,0.8,61.7,1012.8,10.6,0.5,6.6,6.6,0.0,0.0,0.8,0,49.9,49.9,1014.6,1.8000000000000682,54.8,6.900000000000006
2024-07-01 00:03:00,loc_6,2.9,54.7,1010.6,18.2,0.2,9.7,9.7,0.0,0.0,2.6,0,52.8,52.8,1013.6,3.0,57.3,-2.5999999999999943
2024-07-01 00:03:00,loc_5,0.4,60.0,1013.7,5.1,0.7,3.9,3.9,0.0,0.0,0.3,0,53.2,53.2,1010.5,-3.2000000000000455,54.0,6.0
2024-07-01 00:04:00,loc_3,2.5,61.0,1014.7,7.4,0.6,3.9,3.9,0.0,0.0,2.5,0,55.7,55.7,1014.5,-0.20000000000004547,52.1,8.899999999999999
2024-07-01 00:04:00,loc_9,0.9,56.8,1014.6,16.6,0.8,8.2,8.2,0.0,0.0,0.8,0,56.6,56.6,1012.0,-2.6000000000000227,63.4,-6.600000000000001
2024-07-01 00:04:00,loc_6,1.6,54.8,1010.6,12.3,0.5,11.3,11.3,0.0,0.0,1.5,0,58.2,58.2,1010.5,-0.10000000000002274,54.5,0.29999999999999716
2024-07-01 00:04:00,loc_10,1.1,58.5,1011.9,13.6,0.6,6.5,6.5,0.0,0.0,1.1,0,59.3,59.3,1014.6,2.7000000000000455,59.4,-0.8999999999999986
2024-07-01 00:04:00,loc_4,1.1,63.8,1012.7,13.3,0.0,7.8,7.8,0.0,0.0,1.0,0,60.4,60.4,1010.3,-2.400000000000091,57.9,5.899999999999999
2024-07-01 00:04:00,loc_5,0.1,59.8,1013.8,6.7,0.3,4.0,4.0,0.0,0.0,0.1,0,60.5,60.5,1012.0,-1.7999999999999545,64.4,-4.6000000000000085
2024-07-01 00:04:00,loc_8,2.8,52.8,1010.6,8.7,0.2,8.5,8.5,0.0,0.0,3.5,0,63.3,63.3,1014.6,4.0,55.0,-2.200000000000003
2024-07-01 00:04:00,loc_7,2.2,54.3,1014.5,5.1,1.0,8.0,8.0,0.0,0.0,2.1,0,65.5,65.5,1011.8,-2.7000000000000455,57.6,-3.3000000000000043
2024-07-01 00:04:00,loc_1,1.2,62.7,1012.1,9.9,0.3,4.1,4.1,0.0,0.0,1.2,0,66.7,66.7,1010.5,-1.6000000000000227,53.3,9.400000000000006
2024-07-01 00:04:00,loc_2,0.2,58.0,1010.3,17.4,0.3,4.8,4.8,0.0,0.0,0.2,0,66.9,66.9,1014.5,4.2000000000000455,59.8,-1.7999999999999972
2024-07-01 00:05:00,loc_1,2.0,64.4,1012.2,5.9,0.3,5.6,6.1,0.0,0.0,1.8,0,52.0,68.9,1010.3,-1.900000000000091,57.9,6.500000000000007
2024-07-01 00:05:00,loc_10,2.9,60.3,1011.9,17.3,0.8,6.9,9.4,0.0,0.0,2.5,0,54.9,71.8,1014.5,2.6000000000000227,52.1,8.199999999999996
2024-07-01 00:05:00,loc_7,0.4,53.6,1014.5,15.1,0.9,7.6,8.4,0.0,0.0,0.3,0,55.300000000000004,72.2,1012.8,-1.7000000000000455,61.7,-8.100000000000001
2024-07-01 00:05:00,loc_2,1.5,60.1,1010.2,17.3,0.3,5.1,6.3,0.0,0.0,1.7,0,56.800000000000004,73.7,1010.6,0.39999999999997726,54.7,5.399999999999999
2024-07-01 00:05:00,loc_6,0.6,53.0,1010.7,13.0,0.4,9.0,11.9,0.0,0.0,0.7,0,57.4,74.3,1013.7,3.0,60.0,-7.0
