timestamp,location_id,rainfall_mm,humidity,pressure,radar_dbz,satellite_precip,rain_last_5min,rain_last_15min,pressure_drop_15min,humidity_change,forecast_30min,cloudburst
2024-07-01 00:00:00,loc_1,0.5,62.2,1011.8,18.3,0.6,0.5,0.5,0.0,0.0,0.4,0
2024-07-01 00:01:00,loc_1,1.3,61.2,1011.9,6.8,0.3,1.8,1.8,0.0,0.0,1.2,0
2024-07-01 00:02:00,loc_1,0.1,63.4,1012.0,16.7,0.3,1.9,1.9,0.0,0.0,0.1,0
2024-07-01 00:03:00,loc_1,1.0,64.4,1012.0,7.9,1.0,2.9,2.9,0.0,0.0,0.8,0
2024-07-01 00:04:00,loc_1,1.2,62.7,1012.1,9.9,0.3,4.1,4.1,0.0,0.0,1.2,0
2024-07-01 00:05:00,loc_1,2.0,64.4,1012.2,5.9,0.3,5.6,6.1,0.0,0.0,1.8,0
2024-07-01 00:06:00,loc_1,2.7,64.8,1012.1,15.7,0.8,7.0,8.8,0.0,0.0,2.0,0
2024-07-01 00:07:00,loc_1,1.0,64.3,1012.1,8.5,0.4,7.9,9.8,0.0,0.0,1.2,0
2024-07-01 00:08:00,loc_1,2.5,62.7,1012.2,12.8,0.8,9.4,12.3,0.0,0.0,3.0,0
2024-07-01 00:09:00,loc_1,1.2,61.6,1012.1,9.9,1.0,9.4,13.5,0.0,0.0,1.5,0
2024-07-01 00:10:00,loc_1,0.8,60.6,1012.1,12.2,0.1,8.2,14.3,0.0,0.0,1.6,0
2024-07-01 00:11:00,loc_1,0.7,60.7,1012.1,14.3,0.6,6.2,15.0,0.0,0.0,1.1,0
2024-07-01 00:12:00,loc_1,1.5,60.5,1012.1,7.5,0.7,6.8,16.5,0.0,0.0,1.8,0
2024-07-01 00:13:00,loc_1,2.5,61.5,1012.1,8.5,0.1,6.8,19.1,0.0,0.0,1.9,0
2024-07-01 00:14:00,loc_1,1.8,59.0,1012.1,18.0,0.6,7.4,20.9,0.0,0.0,1.8,0
2024-07-01 00:15:00,loc_1,2.2,58.3,1012.1,15.8,0.6,8.8,22.6,-0.2,-3.9,1.5,0
2024-07-01 00:16:00,loc_1,2.7,58.2,1012.1,12.3,0.5,10.8,24.0,-0.3,-3.1,1.7,0
2024-07-01 00:17:00,loc_1,2.8,58.6,1012.1,18.7,0.4,12.1,26.7,-0.1,-4.8,2.1,0
2024-07-01 00:18:00,loc_1,2.9,58.7,1012.1,6.8,0.6,12.5,28.6,-0.1,-5.7,2.2,0
2024-07-01 00:19:00,loc_1,2.4,60.5,1012.2,18.9,0.5,13.1,29.9,-0.1,-2.2,2.3,0
2024-07-01 00:20:00,loc_1,1.8,57.7,1012.1,13.5,0.3,12.6,29.6,0.0,-6.7,1.8,0
2024-07-01 00:21:00,loc_1,1.9,56.5,1012.1,13.0,0.5,11.8,28.8,0.0,-8.3,2.4,0
2024-07-01 00:22:00,loc_1,0.0,57.7,1012.1,15.5,0.4,9.0,27.8,0.0,-6.6,2.1,0
